mu_1 mu_2 mu_3 mu_4 mu_5 mu_6 mu_7
17.2582578913321 8.2117404608057 -0.213469858291919 151.932053036166 89.8220759824693 100.479309692604 43.0175084001509
17.9762692920425 8.25250281495026 -0.21617190005831 152.053461616974 89.6542031839274 100.492878243749 42.9886592262605
18.7649709576618 8.32363556003036 -0.220322203331261 152.175690126258 89.4849247960429 100.513650175224 42.9433216310067
19.4530155433083 8.97517162062021 -0.227179888172664 152.201432208552 89.444449509952 100.409120015297 43.2325039548727
20.1559097102971 9.34560633940842 -0.232297725509187 152.224927784171 89.4100615969478 100.342403486863 43.4107150764357
20.854985001381 9.38110604573458 -0.235364037458419 152.327649310833 89.267104467329 100.351998996635 43.3960741115489
21.3219341626685 9.41911528133637 -0.237269468590565 152.412757316028 89.1478564961742 100.344555890054 43.4268341532867
22.4832681946972 9.51808473867669 -0.244947101973081 152.546876199975 88.9616352200307 100.3970414711 43.3054447942689
22.9909543654631 9.20470583858832 -0.243453414083633 152.678272022002 88.7798461849742 100.483326981594 43.095773659456
24.1133517779718 9.48368456658018 -0.252784232308238 152.7893605537 88.6243274620712 100.501194492223 43.0662343349915
25.0743103029807 9.847613480387 -0.259637936129494 152.874239095107 88.5045812320477 100.483396054216 43.1273441055481
25.7152232354809 10.0231832083826 -0.263015762153586 152.940410021927 88.4112633377335 100.463901985883 43.1888380521885
26.5162680593334 10.0984047792393 -0.268066346640477 153.019375049517 88.3008810880372 100.48109204745 43.1557113097898
26.9844311550077 10.2228997261982 -0.269978538948873 153.083562050706 88.2100624727555 100.454009714747 43.2374321151115
27.7850794802962 10.7463894808651 -0.27924449144469 153.133018449669 88.1388064346988 100.377880584893 43.4455872328508
28.4018523107228 11.0855024923332 -0.284340601516216 153.167252337522 88.0894137246396 100.311268197494 43.6248460163117
29.1971511006222 11.3430772316526 -0.291410005504182 153.223464179504 88.0098444448581 100.28284507871 43.7083699459795
29.8482633174134 11.5828937322223 -0.296509564506288 153.285146046076 87.9223249787686 100.247773089124 43.8108657749255
30.6733989699768 11.6041288759519 -0.302762756771345 153.390200851541 87.7749894484104 100.285474811298 43.7323543964155
31.1743983997932 11.836274951523 -0.305406005067842 153.450613255796 87.6889468496065 100.236660801356 43.8706831106134
32.0157444967722 11.9034222549506 -0.313045952427353 153.549889093552 87.5494990956092 100.266287720419 43.8126838995501
32.8032527444888 11.847035583617 -0.317932539393391 153.673101392844 87.3767331917841 100.328771935155 43.6747383480553
33.4168188008184 12.3563947153709 -0.325140430858135 153.729269318714 87.2958205789696 100.233023508355 43.9342929595938
34.1533555813782 12.1638839262518 -0.32934079646228 153.863729276928 87.1074700840953 100.318745261565 43.7388909069529
34.8855212444397 12.53410878152 -0.337521657061444 153.934519050627 87.0066861011376 100.265317637604 43.8913393161797
35.2022694200933 12.2858917628791 -0.335833257988678 154.035606018091 86.8646130695561 100.302654753309 43.8147996988147
36.1147530522961 12.7849137176748 -0.34914828560673 154.099783313997 86.7730206397958 100.238906855346 43.9925116044094
36.7229779221988 12.5943858803364 -0.351662500003015 154.245114359098 86.569004550791 100.320578136012 43.8111646354829
37.3931647190758 13.0366073868084 -0.359416916816893 154.284803575992 86.5115977598117 100.227241392998 44.0600534934708
38.0295535028903 13.4027471583038 -0.366900411057042 154.298614651035 86.4907894274636 100.131903608444 44.3083917141428
38.7259505140152 13.7054416630016 -0.376291653037369 154.340112996643 86.4313225490843 100.068783894706 44.4793828684264
39.1223483004731 13.6991606717462 -0.37740081676037 154.418486016822 86.3204025458544 100.051895026849 44.5388718613018
39.7881736074772 14.1476891553553 -0.386845648910081 154.394423799652 86.3526060263319 99.916961076741 44.8811066035824
40.3234643369356 14.1758516109842 -0.393171230808757 154.522283156579 86.1722532544235 99.9400104791552 44.848320102914
41.0642863820659 14.473920841825 -0.402911534162386 154.565176927001 86.1108366378404 99.8776006731736 45.0177055584722
41.6367558174028 14.5025324533716 -0.409480105650793 154.71626325604 85.8978062556964 99.9137089778167 44.9563124462281
42.2839846435799 14.8666772626327 -0.414556885936927 154.62437206821 86.0254296003455 99.7378043153022 45.3892165211289
42.7900883570298 15.0435473145941 -0.420579920316259 154.639585649938 86.0027936707042 99.6484879268285 45.6219457223138
43.1922066142943 15.0957072355597 -0.423538705350671 154.68510205254 85.9377701249246 99.5927668967574 45.7746096842088
43.9331273240698 15.4367801261526 -0.431516986007003 154.572348952551 86.0947403514123 99.4022021558265 46.2405544848322
44.417609524941 15.5642167242373 -0.435437525599281 154.575927175565 86.0884543768045 99.3040724056104 46.4934014311064
44.9510443502026 15.6891771578732 -0.441002851763423 154.567487259569 86.0990903770791 99.1999168411378 46.7591459079543
45.5418176589767 15.8358877015642 -0.446555543285894 154.55752531512 86.1118543861723 99.0936014265901 47.0300986792026
46.0779208119527 15.8905145081998 -0.448863819855016 154.511746136461 86.1749826884617 98.9648914680707 47.3509521224847
46.9437919903183 16.1226873330238 -0.458676930740724 154.428140753596 86.2909412832898 98.7849411240065 47.7954572924229
47.5829822083948 16.0123960175637 -0.454102018841106 154.258017067248 86.5286126084112 98.5544550707395 48.3512971053613
48.0188182344387 16.0470521970057 -0.460030690240471 154.314723546674 86.4476172564583 98.4865782469691 48.537557804928
49.0072719284202 15.9604830032485 -0.460829013947451 154.124204639486 86.7139296694771 98.2381532132125 49.134987879152
49.5032337259847 15.8262533526465 -0.459366686055607 154.117490017445 86.7219975883841 98.1204408477205 49.4357020032183
50.1952033059294 15.6872649944848 -0.461543960356338 154.077187972029 86.7772390617639 97.9766273577482 49.796267211868
50.8671441723568 15.6074392790377 -0.46516433638649 154.086201346159 86.7631822562368 97.8671641794839 50.0790798784893
51.9880142522692 15.2486282517837 -0.460655616273459 153.944894161406 86.9602982438875 97.6450683102724 50.6190369256678
53.0123606441902 14.7519561691494 -0.451813962299304 153.884750077047 87.0428914781825 97.440458644655 51.1312496041938
53.9673850195698 14.4664410406379 -0.453516852803654 153.942967763768 86.9589794172799 97.3046944809612 51.4918518412632
55.0166854297265 13.9654275039873 -0.447905803499373 153.932774821515 86.9716788839807 97.1583229620427 51.8650556331561
55.6726397569643 13.6198564041654 -0.445677293993356 153.986658736038 86.8946538994476 97.0848276999307 52.0648767375231
56.4295837521213 13.4149994616096 -0.450224352334864 154.062907271689 86.7862046585866 97.0276005930326 52.2276966832781
57.3032412572254 12.9795178689057 -0.445822204103409 154.086976043061 86.7513498410654 96.9544212003724 52.4203082786247
58.2446157960984 12.647934245884 -0.448721821842908 154.173523137077 86.628384462876 96.8996997322187 52.578806555683
59.2468489540101 12.2418254766705 -0.449035645680761 154.255084258772 86.5125394785912 96.8504106409754 52.7222738915115
60.1086709804982 11.8159794006578 -0.446308467226802 154.344067937047 86.3863968220119 96.8177908776058 52.8245595873398
61.0672290333314 11.3293725514022 -0.444984594128358 154.438540698345 86.252562315739 96.7904646627257 52.9143975176577
61.8358424518118 10.9414955799211 -0.446408783077761 154.548909325096 86.0964497732117 96.7803798186798 52.9634250077869
62.7517210985857 10.4805512621544 -0.445837855227374 154.653331606137 85.9487724913208 96.7721843173523 53.006312011003
64.0060202850525 9.87816164670691 -0.442956465223009 154.780398528087 85.7691306423177 96.7670262150305 53.0461309116416
65.0433281493914 9.34166509500586 -0.440752627095693 154.93793232188 85.5465715057804 96.7758342312602 53.0566317313242
66.1965171076061 8.70193187478881 -0.437634026606 155.085115275478 85.3386998869738 96.7887613629958 53.0543445419136
67.3030036141702 8.06156077950562 -0.435796209579856 155.246458192985 85.1108936359937 96.8090891002199 53.036091875159
68.4990171289671 7.43184160539296 -0.433010153112673 155.423612367906 84.8608076463702 96.8356773909819 53.005132148909
69.5605595275806 6.83389073774895 -0.432034429227397 155.586382755142 84.6310675601077 96.8637644418229 52.9673187376358
